title,price,rating,colors,size,gender,timestamp
T-shirt 2,1634400.0,3.9,3,M,Women,2025-05-13 14:21:49
Hoodie 3,7950080.0,4.8,3,L,Unisex,2025-05-13 14:21:49
Pants 4,7476960.0,3.3,3,XL,Men,2025-05-13 14:21:49
Outerwear 5,5145440.0,3.5,3,XXL,Women,2025-05-13 14:21:49
Jacket 6,2453920.0,3.3,3,S,Unisex,2025-05-13 14:21:49
Crewneck 7,6892000.0,4.3,3,M,Men,2025-05-13 14:21:49
T-shirt 8,7802560.0,3.1,3,L,Women,2025-05-13 14:21:49
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2025-05-13 14:21:49
Pants 10,3100160.0,4.2,3,XXL,Men,2025-05-13 14:21:49
Jacket 12,8527840.0,3.9,3,M,Unisex,2025-05-13 14:21:49
Crewneck 13,5447200.0,3.2,3,L,Men,2025-05-13 14:21:49
T-shirt 14,3248800.0,3.8,3,XL,Women,2025-05-13 14:21:49
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2025-05-13 14:21:49
Outerwear 17,841600.0,3.8,3,M,Women,2025-05-13 14:21:49
Jacket 18,5500000.0,3.8,3,L,Unisex,2025-05-13 14:21:49
Crewneck 19,1308960.0,3.6,3,XL,Men,2025-05-13 14:21:49
T-shirt 20,1325600.0,3.4,3,XXL,Women,2025-05-13 14:21:49
T-shirt 2,1634400.0,3.9,3,M,Women,2025-05-13 14:21:50
Hoodie 3,7950080.0,4.8,3,L,Unisex,2025-05-13 14:21:50
Pants 4,7476960.0,3.3,3,XL,Men,2025-05-13 14:21:50
Outerwear 5,5145440.0,3.5,3,XXL,Women,2025-05-13 14:21:50
Jacket 6,2453920.0,3.3,3,S,Unisex,2025-05-13 14:21:50
Crewneck 7,6892000.0,4.3,3,M,Men,2025-05-13 14:21:50
T-shirt 8,7802560.0,3.1,3,L,Women,2025-05-13 14:21:50
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2025-05-13 14:21:50
Pants 10,3100160.0,4.2,3,XXL,Men,2025-05-13 14:21:50
Jacket 12,8527840.0,3.9,3,M,Unisex,2025-05-13 14:21:50
Crewneck 13,5447200.0,3.2,3,L,Men,2025-05-13 14:21:50
T-shirt 14,3248800.0,3.8,3,XL,Women,2025-05-13 14:21:50
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2025-05-13 14:21:50
Outerwear 17,841600.0,3.8,3,M,Women,2025-05-13 14:21:50
Jacket 18,5500000.0,3.8,3,L,Unisex,2025-05-13 14:21:50
Crewneck 19,1308960.0,3.6,3,XL,Men,2025-05-13 14:21:50
T-shirt 20,1325600.0,3.4,3,XXL,Women,2025-05-13 14:21:50
T-shirt 2,1634400.0,3.9,3,M,Women,2025-05-13 14:21:51
Hoodie 3,7950080.0,4.8,3,L,Unisex,2025-05-13 14:21:51
Pants 4,7476960.0,3.3,3,XL,Men,2025-05-13 14:21:51
Outerwear 5,5145440.0,3.5,3,XXL,Women,2025-05-13 14:21:51
Jacket 6,2453920.0,3.3,3,S,Unisex,2025-05-13 14:21:51
Crewneck 7,6892000.0,4.3,3,M,Men,2025-05-13 14:21:51
T-shirt 8,7802560.0,3.1,3,L,Women,2025-05-13 14:21:51
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2025-05-13 14:21:51
Pants 10,3100160.0,4.2,3,XXL,Men,2025-05-13 14:21:51
Jacket 12,8527840.0,3.9,3,M,Unisex,2025-05-13 14:21:51
Crewneck 13,5447200.0,3.2,3,L,Men,2025-05-13 14:21:51
T-shirt 14,3248800.0,3.8,3,XL,Women,2025-05-13 14:21:51
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2025-05-13 14:21:51
Outerwear 17,841600.0,3.8,3,M,Women,2025-05-13 14:21:51
Jacket 18,5500000.0,3.8,3,L,Unisex,2025-05-13 14:21:51
Crewneck 19,1308960.0,3.6,3,XL,Men,2025-05-13 14:21:51
T-shirt 20,1325600.0,3.4,3,XXL,Women,2025-05-13 14:21:51
T-shirt 2,1634400.0,3.9,3,M,Women,2025-05-13 14:21:52
Hoodie 3,7950080.0,4.8,3,L,Unisex,2025-05-13 14:21:52
Pants 4,7476960.0,3.3,3,XL,Men,2025-05-13 14:21:52
Outerwear 5,5145440.0,3.5,3,XXL,Women,2025-05-13 14:21:52
Jacket 6,2453920.0,3.3,3,S,Unisex,2025-05-13 14:21:52
Crewneck 7,6892000.0,4.3,3,M,Men,2025-05-13 14:21:52
T-shirt 8,7802560.0,3.1,3,L,Women,2025-05-13 14:21:52
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2025-05-13 14:21:52
Pants 10,3100160.0,4.2,3,XXL,Men,2025-05-13 14:21:52
Jacket 12,8527840.0,3.9,3,M,Unisex,2025-05-13 14:21:52
Crewneck 13,5447200.0,3.2,3,L,Men,2025-05-13 14:21:52
T-shirt 14,3248800.0,3.8,3,XL,Women,2025-05-13 14:21:52
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2025-05-13 14:21:52
Outerwear 17,841600.0,3.8,3,M,Women,2025-05-13 14:21:52
Jacket 18,5500000.0,3.8,3,L,Unisex,2025-05-13 14:21:52
Crewneck 19,1308960.0,3.6,3,XL,Men,2025-05-13 14:21:52
T-shirt 20,1325600.0,3.4,3,XXL,Women,2025-05-13 14:21:52
T-shirt 2,1634400.0,3.9,3,M,Women,2025-05-13 14:21:53
Hoodie 3,7950080.0,4.8,3,L,Unisex,2025-05-13 14:21:53
Pants 4,7476960.0,3.3,3,XL,Men,2025-05-13 14:21:53
Outerwear 5,5145440.0,3.5,3,XXL,Women,2025-05-13 14:21:53
Jacket 6,2453920.0,3.3,3,S,Unisex,2025-05-13 14:21:53
Crewneck 7,6892000.0,4.3,3,M,Men,2025-05-13 14:21:53
T-shirt 8,7802560.0,3.1,3,L,Women,2025-05-13 14:21:53
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2025-05-13 14:21:53
Pants 10,3100160.0,4.2,3,XXL,Men,2025-05-13 14:21:53
Jacket 12,8527840.0,3.9,3,M,Unisex,2025-05-13 14:21:53
Crewneck 13,5447200.0,3.2,3,L,Men,2025-05-13 14:21:53
T-shirt 14,3248800.0,3.8,3,XL,Women,2025-05-13 14:21:53
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2025-05-13 14:21:53
Outerwear 17,841600.0,3.8,3,M,Women,2025-05-13 14:21:53
Jacket 18,5500000.0,3.8,3,L,Unisex,2025-05-13 14:21:53
Crewneck 19,1308960.0,3.6,3,XL,Men,2025-05-13 14:21:53
T-shirt 20,1325600.0,3.4,3,XXL,Women,2025-05-13 14:21:53
T-shirt 2,1634400.0,3.9,3,M,Women,2025-05-13 14:21:54
Hoodie 3,7950080.0,4.8,3,L,Unisex,2025-05-13 14:21:54
Pants 4,7476960.0,3.3,3,XL,Men,2025-05-13 14:21:54
Outerwear 5,5145440.0,3.5,3,XXL,Women,2025-05-13 14:21:54
Jacket 6,2453920.0,3.3,3,S,Unisex,2025-05-13 14:21:54
Crewneck 7,6892000.0,4.3,3,M,Men,2025-05-13 14:21:54
T-shirt 8,7802560.0,3.1,3,L,Women,2025-05-13 14:21:54
Hoodie 9,3972160.0,3.2,3,XL,Unisex,2025-05-13 14:21:54
Pants 10,3100160.0,4.2,3,XXL,Men,2025-05-13 14:21:54
Jacket 12,8527840.0,3.9,3,M,Unisex,2025-05-13 14:21:54
Crewneck 13,5447200.0,3.2,3,L,Men,2025-05-13 14:21:54
T-shirt 14,3248800.0,3.8,3,XL,Women,2025-05-13 14:21:54
Hoodie 15,2184160.0,3.6,3,XXL,Unisex,2025-05-13 14:21:54
Outerwear 17,841600.0,3.8,3,M,Women,2025-05-13 14:21:54
Jacket 18,5500000.0,3.8,3,L,Unisex,2025-05-13 14:21:54
Crewneck 19,1308960.0,3.6,3,XL,Men,2025-05-13 14:21:54
T-shirt 20,1325600.0,3.4,3,XXL,Women,2025-05-13 14:21:54
